X,Y,Theta,Range,Bearing,ATE_MSRE,Num_Landmarks
0.03807947176588889,0.0951207163345817,0.026019167591589856,0.6387926357773329,0.03459551647692579,9.066073619530046,177
0.016443457513284063,0.006750277604651747,0.030468817979407606,0.6410035105688879,0.12612952560340618,46.6192062777724,193
0.0030378649352844423,0.09702107536403744,0.02935017259232563,0.29110519961044856,0.03887436749087057,111.8601347196828,378
0.01915704647548995,0.03111998205299424,0.019146911507692564,0.48875051677790415,0.05701426631494766,41.00804226904902,195
0.06157343657751557,0.01480989220455214,0.011433212669134583,0.4297256589643226,0.08434591327897721,38.15519305450556,268
0.07873242017790835,0.020767704433677616,0.018797988999171233,0.6331731119758383,0.01642841634827669,9.80839240958302,189
0.0611469403382424,0.017881888245041864,0.0039025217663890416,0.9539969835279999,0.16883450048881116,220.0084866250509,244
0.08103133746352965,0.0311567631481637,0.0049842592079041995,0.7158097238609412,0.08170669341285947,33.81478588694125,181
0.06658970615104422,0.0623157792876936,0.03020027569102718,0.6720480968906528,0.16611894129280982,8.126458125972299,195
0.001,0.1,0.03490658503988659,1.0,0.008726646259971648,55.835776920239944,267
0.1,0.001,0.0017453292519943296,0.5367955742476561,0.17453292519943295,41.49643660277205,209
0.018061303341788144,0.09234938560069025,0.015771967656326193,0.7415603484392385,0.10508777414537818,108.79530816651929,191
0.037886053361636016,0.07240808293942333,0.02628292041813887,0.7356647149650543,0.13996234886704745,9.408396943931942,150
0.1,0.001,0.03490658503988659,0.8735920127297904,0.008726646259971648,174.15562531879112,346
0.09203442754647345,0.049172758044386394,0.03180989130244744,0.6839309071133461,0.10983008421984514,8.792681887394542,153
0.001,0.1,0.0017453292519943296,1.0,0.17453292519943295,53.821295786927834,208
0.03539804590045199,0.045775008173606704,0.009025182676360485,0.8369932161365728,0.04183363284223495,40.66385146960559,193
0.02474569963099073,0.038730406941703786,0.024116702097220218,0.18448832288465428,0.1657823231403534,10.847685437737876,270
0.001,0.1,0.0017453292519943296,0.8611195430205185,0.17453292519943295,356.768940953839,320
0.012548931238325137,0.09117098789603985,0.001842852330669629,0.5851551038953208,0.12037142185012097,48.7960237471205,202
0.06260181239519576,0.06250748035709548,0.029218778959834133,0.674826646878273,0.16375270943999756,11.39614441146805,180
0.06411470805067081,0.08153480595872066,0.008414817297877995,0.24063434441777948,0.113488041134413,7.387090504782947,237
0.001,0.038987630678757275,0.0017453292519943296,0.7447099946154359,0.008726646259971648,67.30860913943083,535
0.09267247602792707,0.09556254201643867,0.022389379279636863,0.5509641177192635,0.0330346719652206,8.937774610961705,190
0.07789322961177331,0.028990518037068872,0.009977251800272296,0.5814209259901483,0.09131993983004756,8.701322789141809,172
0.005185162978995224,0.056760483556912864,0.03490658503988659,0.5668229539054084,0.026569183720354952,92.70314119863781,291
0.024993235819207024,0.07298270220786493,0.0017453292519943296,0.9092614134940907,0.06628736098736482,14.549793273419443,173
0.07851280038310565,0.027528730408337178,0.03296223777811226,0.456468672400437,0.06809710576972981,67.10976438173994,194
0.1,0.08637547940696226,0.004176088331344835,0.8141847805926572,0.10387512044041157,9.018075717972454,159
0.0844472954080638,0.09792667554588334,0.03490658503988659,0.5085661578163508,0.1395433938175032,9.522790856155272,155
0.001,0.01637269601415338,0.03490658503988659,0.5275121427649013,0.16696347625371744,48.065084297058625,225
0.1,0.001,0.0017453292519943296,0.7583368092516584,0.15986188371596516,22.282738902705137,199
0.07615697394168584,0.05489614926756324,0.014562660923615115,0.9500316136878993,0.06130655238491693,9.038820915953409,166
0.1,0.1,0.03490658503988659,1.0,0.13707125993298583,9.553047147865037,138
0.001,0.1,0.0017453292519943296,0.46053879422520333,0.17453292519943295,131.1665370782408,316
0.1,0.1,0.0017453292519943296,0.6278438609196784,0.08582354830481508,8.989731551611792,171
0.001,0.001418236889371817,0.0017453292519943296,1.0,0.0904661295024953,116.89589573154171,356
0.0631608052992362,0.008823211495803744,0.0017453292519943296,0.8543461038547627,0.11945076471228946,63.73802579629632,228
